Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01000001,City of London 001A,838
E01000002,City of London 001B,824
E01000003,City of London 001C,1017
E01000005,City of London 001E,480
E01000006,Barking and Dagenham 016A,554
E01000007,Barking and Dagenham 015A,1191
E01000008,Barking and Dagenham 015B,548
E01000009,Barking and Dagenham 016B,601
E01000011,Barking and Dagenham 016C,473
E01000012,Barking and Dagenham 015D,783
E01000013,Barking and Dagenham 013A,619
E01000014,Barking and Dagenham 013B,634
E01000015,Barking and Dagenham 009A,835
E01000016,Barking and Dagenham 009B,627
E01000017,Barking and Dagenham 009C,598
E01000018,Barking and Dagenham 009D,645
E01000019,Barking and Dagenham 023A,499
E01000020,Barking and Dagenham 023B,664
E01000021,Barking and Dagenham 008A,591
E01000022,Barking and Dagenham 008B,479
E01000024,Barking and Dagenham 008D,459
E01000025,Barking and Dagenham 008E,694
E01000027,Barking and Dagenham 001A,662
E01000028,Barking and Dagenham 001B,621
E01000029,Barking and Dagenham 001C,681
E01000030,Barking and Dagenham 001D,906
E01000031,Barking and Dagenham 002A,595
E01000032,Barking and Dagenham 002B,723
E01000033,Barking and Dagenham 006A,552
E01000034,Barking and Dagenham 003A,514
E01000035,Barking and Dagenham 010A,595
E01000036,Barking and Dagenham 010B,471
E01000037,Barking and Dagenham 003B,589
E01000038,Barking and Dagenham 003C,564
E01000039,Barking and Dagenham 003D,642
E01000040,Barking and Dagenham 019A,656
E01000041,Barking and Dagenham 017A,602
E01000042,Barking and Dagenham 017B,655
E01000043,Barking and Dagenham 019B,470
E01000044,Barking and Dagenham 016D,660
E01000045,Barking and Dagenham 017C,577
E01000046,Barking and Dagenham 017D,661
E01000049,Barking and Dagenham 021C,575
E01000050,Barking and Dagenham 019C,631
E01000051,Barking and Dagenham 021D,433
E01000052,Barking and Dagenham 019D,796
E01000053,Barking and Dagenham 020A,651
E01000054,Barking and Dagenham 018A,640
E01000055,Barking and Dagenham 018B,567
E01000056,Barking and Dagenham 018C,563
E01000057,Barking and Dagenham 012A,530
E01000058,Barking and Dagenham 018D,699
E01000059,Barking and Dagenham 013C,570
E01000060,Barking and Dagenham 006B,810
E01000061,Barking and Dagenham 006C,752
E01000062,Barking and Dagenham 006D,766
E01000063,Barking and Dagenham 004A,623
E01000064,Barking and Dagenham 006E,795
E01000065,Barking and Dagenham 007A,783
E01000066,Barking and Dagenham 011A,709
E01000067,Barking and Dagenham 011B,660
E01000068,Barking and Dagenham 016E,477
E01000069,Barking and Dagenham 011C,536
E01000070,Barking and Dagenham 011D,578
E01000071,Barking and Dagenham 011E,806
E01000072,Barking and Dagenham 017E,739
E01000073,Barking and Dagenham 012B,665
E01000074,Barking and Dagenham 012C,625
E01000075,Barking and Dagenham 012D,640
E01000076,Barking and Dagenham 012E,794
E01000077,Barking and Dagenham 008F,593
E01000078,Barking and Dagenham 007B,619
E01000079,Barking and Dagenham 009E,622
E01000080,Barking and Dagenham 007C,608
E01000081,Barking and Dagenham 007D,653
E01000082,Barking and Dagenham 007E,697
E01000083,Barking and Dagenham 007F,633
E01000084,Barking and Dagenham 013D,501
E01000085,Barking and Dagenham 013E,576
E01000086,Barking and Dagenham 013F,488
E01000087,Barking and Dagenham 020B,518
E01000088,Barking and Dagenham 020C,603
E01000089,Barking and Dagenham 020D,601
E01000090,Barking and Dagenham 020E,558
E01000091,Barking and Dagenham 022A,672
E01000093,Barking and Dagenham 022B,664
E01000094,Barking and Dagenham 022C,843
E01000095,Barking and Dagenham 018E,737
E01000096,Barking and Dagenham 022D,484
E01000097,Barking and Dagenham 023C,685
E01000098,Barking and Dagenham 023D,622
E01000099,Barking and Dagenham 023E,934
E01000100,Barking and Dagenham 004B,656
E01000101,Barking and Dagenham 004C,582
E01000102,Barking and Dagenham 007G,629
E01000103,Barking and Dagenham 014A,533
E01000104,Barking and Dagenham 014B,693
E01000105,Barking and Dagenham 014C,935
E01000106,Barking and Dagenham 014D,872
E01000107,Barking and Dagenham 010C,603
E01000108,Barking and Dagenham 010D,685
E01000110,Barking and Dagenham 002C,522
E01000111,Barking and Dagenham 002D,748
E01000112,Barking and Dagenham 002E,700
E01000113,Barking and Dagenham 002F,642
E01000114,Barking and Dagenham 004E,757
E01000115,Barnet 009A,478
E01000116,Barnet 009B,618
E01000117,Barnet 010A,694
E01000118,Barnet 010B,751
E01000119,Barnet 009C,629
E01000120,Barnet 009D,497
E01000121,Barnet 010C,525
E01000122,Barnet 009E,519
E01000123,Barnet 010D,731
E01000124,Barnet 010E,793
E01000126,Barnet 026A,769
E01000127,Barnet 024B,516
E01000128,Barnet 024C,633
E01000129,Barnet 024D,574
E01000130,Barnet 021A,658
E01000131,Barnet 024E,713
E01000132,Barnet 021B,505
E01000133,Barnet 021C,578
E01000134,Barnet 024F,635
E01000135,Barnet 038A,626
E01000136,Barnet 038B,564
E01000137,Barnet 041A,673
E01000138,Barnet 040A,654
E01000139,Barnet 041B,540
E01000140,Barnet 041C,867
E01000141,Barnet 039A,788
E01000142,Barnet 040B,892
E01000143,Barnet 041D,679
E01000144,Barnet 038C,743
E01000145,Barnet 037A,488
E01000146,Barnet 038D,868
E01000147,Barnet 043F,560
E01000150,Barnet 036A,775
E01000151,Barnet 026B,656
E01000152,Barnet 026C,927
E01000153,Barnet 026D,742
E01000154,Barnet 026E,707
